cohens_d,t,p,dof,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),pb_recent_int,index,significant
,,,,4,0,4,0,0.3135612103773715,,0.040283524093207394,,120.0,120.0,
-0.3533769410186737,-2.116165700167913,0.08119304407401592,5.692190857009586,62,2,62,2,0.3600205041121397,0.3869660233907911,0.07685970652272324,0.011563131082379515,150.0,150.0,False
0.4712432946431555,4.469069227227364,6.956882359476056e-05,37.68881199056641,252,16,252,16,0.3698335727724411,0.3110607448680428,0.12798864684534939,0.041558641079971405,180.0,180.0,True
-0.07027874083308513,-0.3309113434611039,0.74167701807039,71.66746826370563,487,68,487,68,0.38303016543390656,0.39561309226009916,0.15287579150414937,0.3083152589251919,210.0,210.0,False
0.3378937315395421,3.674951967008444,0.000329984173977818,150.84504512455865,551,92,551,92,0.3773289011791925,0.3409820465017052,0.11107373595330691,0.0833038685398155,240.0,240.0,True
0.3976990077586425,4.706927436820935,3.599055323676208e-06,358.2955844641669,356,132,356,132,0.3784138566270193,0.33575775458080076,0.11666729864012854,0.07611784939738675,270.0,270.0,True
0.256021241180751,2.147880608023143,0.03274276171934279,235.80060534223824,187,127,187,127,0.3801127610149551,0.3524948548064229,0.09903448064404002,0.11973487668452208,300.0,300.0,False
0.288022732290179,2.0747619928345764,0.039546228235958956,166.57790815906037,109,60,109,60,0.3877079917861786,0.3564370494492836,0.12416704412143977,0.07171716397107337,330.0,330.0,False
0.5209594471932252,2.7734563133556343,0.006870344709823235,81.67271848282718,56,50,56,50,0.39114090455835865,0.33015479564105965,0.1462420874523987,0.07128080740831876,360.0,360.0,True
0.10360716216391355,0.31466990696148345,0.7558622536662865,22.89353328291149,20,8,20,8,0.41167624399017855,0.39315315783636245,0.19829386719636324,0.10951095216688489,390.0,390.0,False
,,,,4,0,4,0,0.2779948949577026,,0.03396390492956385,,420.0,420.0,
,,,,3,1,3,1,0.3156194881650863,0.4371517241917659,0.034005497821834645,,480.0,480.0,
,,,,1,0,1,0,0.302727897674611,,,,570.0,570.0,
