htw_distance,htw_slowdown,all,M,F
5.0,0.1,0.6588659933303089,0.6693813211202775,0.6356025480247439
5.0,0.2,0.3976023335959823,0.4314249277854533,0.3227753680714551
5.0,0.25,0.29799391927922764,0.33593762188642484,0.21404967446593365
5.0,0.3,0.21889639693417062,0.2550145700323644,0.1389908380025388
5.0,0.33,0.18077409803968386,0.2140249057122732,0.10721211679597266
5.0,0.4,0.11409390097339286,0.13913615280650085,0.058692008851356274
5.0,0.5,0.059135805416935285,0.07388390316230085,0.026508047907774085
5.0,0.75,0.01360043934003486,0.017182988396556815,0.0056746346770162595
5.0,0.9,0.00661795722801907,0.008294199665204173,0.00290954461024758
10.0,0.1,0.4964029034645782,0.5014622037238957,0.4852100279577068
10.0,0.2,0.24006669691108937,0.2656969491051406,0.1833639500263981
10.0,0.25,0.16013028978932373,0.18573252043936028,0.10348953599410932
10.0,0.3,0.10460909083673584,0.12590553487880263,0.05749418666339407
10.0,0.33,0.08048995964757288,0.09851167827242117,0.04061985061099158
10.0,0.4,0.04330603376232659,0.0545138208732543,0.018510635305968786
10.0,0.5,0.018002992606034558,0.02312425640252235,0.006673032893450073
10.0,0.75,0.0026217139036794727,0.003396496142682885,0.0009076347422125578
10.0,0.9,0.0009829437374147387,0.0012752750913407839,0.000336208362256201
15.0,0.1,0.31121431357099083,0.31019520896425357,0.3134689160667968
15.0,0.2,0.10646991873801166,0.1197238887858422,0.07714767472927557
15.0,0.25,0.06038219399409438,0.071580087217953,0.035608684146944784
15.0,0.3,0.03367796057082368,0.04139241318219561,0.016610994141281657
15.0,0.33,0.023864839266811523,0.02976874587933598,0.010803410149913135
15.0,0.4,0.010583558176738856,0.01349584278810845,0.004140604126797852
15.0,0.5,0.003553719666037901,0.004596075249897868,0.001247678180844305
15.0,0.75,0.0003673105545076128,0.0004767113504105785,0.00012527916160116995
15.0,0.9,0.00012177359661899191,0.00015890378347019284,3.9629122547308865e-05
20.0,0.1,0.12898211599532008,0.12652381505448665,0.13442070532167982
20.0,0.2,0.026524756651783228,0.03027550449062092,0.01822683965417838
20.0,0.25,0.011819202024784509,0.014092165350076591,0.006790641902300151
20.0,0.3,0.005324212252174813,0.006532967912414546,0.002650037775502299
20.0,0.33,0.003340018942559474,0.0041673239504982935,0.0015097417331732827
20.0,0.4,0.0012245011660020854,0.0015318324726526589,0.0005445808453275347
20.0,0.5,0.00034343337869996736,0.0004356852826782742,0.00013934110831150535
20.0,0.75,3.1040328549939114e-05,3.871473997273789e-05,1.4061946710335403e-05
20.0,0.9,1.1142682043567887e-05,1.4445798497290258e-05,3.835076375546019e-06
