odds_ratio,chi2,p,dof,expected,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),pb_recent_int,index,significant
0.3333333333333333,,,1,,5,0,1,0,0.2,,0.44721359549995804,,0.0,0.0,
2.0,0.3285714285714286,0.5665014959476617,1,"[[ 3.47826087 12.52173913]
 [ 1.52173913  5.47826087]]",16,7,4,1,0.25,0.14285714285714285,0.4472135954999579,0.3779644730092273,30.0,30.0,False
0.6,,,1,,3,0,1,0,0.3333333333333333,,0.5773502691896258,,60.0,60.0,
0.75,0.06428571428571433,0.7998461056624732,1,"[[2.22222222 7.77777778]
 [1.77777778 6.22222222]]",10,8,2,2,0.2,0.25,0.42163702135578396,0.4629100498862757,90.0,90.0,False
6.484817292846114,9.090875477186017,0.0025688787399850174,1,"[[ 242.17788018 3895.82211982]
 [  11.82211982  190.17788018]]",4138,202,252,2,0.06089898501691639,0.009900990099009901,0.23917383372786896,0.09925588870087707,120.0,120.0,True
2.3474398905248566,131.0222656969166,2.4484448954997687e-30,1,"[[ 6277.93505951 59117.06494049]
 [  392.06494049  3691.93505951]]",65395,4084,6487,183,0.09919718632923007,0.044809010773751226,0.29892887280344654,0.20690975351711963,150.0,150.0,True
3.316443783788912,2272.203985556975,0.0,1,"[[ 21101.36672574 107218.63327426]
 [  4230.63327426  21496.36672574]]",128320,25727,23688,1644,0.1846009975062344,0.06390173747424885,0.3879750536659573,0.2445825640355269,180.0,180.0,True
3.0534894746193952,5747.132751466817,0.0,1,"[[ 38204.6330002 123259.3669998]
 [ 11845.3669998  38216.6330002]]",161464,50062,44503,5547,0.2756218104345241,0.11080260477008509,0.44682845095286894,0.31389067468293835,210.0,210.0,True
3.3512542829637693,8952.903859866423,0.0,1,"[[35810.09561351 63126.90438649]
 [17584.90438649 30999.09561351]]",98937,48584,44018,9377,0.4449093867814872,0.19300592787749052,0.49695826841408425,0.39466168503040566,240.0,240.0,True
3.25516951692649,6879.961929037818,0.0,1,"[[24612.32524983 31041.67475017]
 [16145.67475017 20363.32524983]]",55654,36509,30729,10029,0.5521436015380745,0.27469938919170617,0.4972780792312867,0.446368784967534,270.0,270.0,True
2.926120739530199,3015.9088502055183,0.0,1,"[[12172.76530243 11748.23469757]
 [10307.23469757  9947.76530243]]",23921,20255,15048,7432,0.6290706910246228,0.3669217477166132,0.4830636725803175,0.48197681232989387,300.0,300.0,True
2.3763345330436705,1032.0311405159841,1.9586602994278484e-226,1,"[[5697.00382518 5535.99617482]
 [5837.99617482 5673.00382518]]",11233,11511,6908,4627,0.6149737380931185,0.4019633394144731,0.4866231812007143,0.4903159169303418,330.0,330.0,True
1.8776768271645905,219.75757530053167,1.021557294107553e-49,1,"[[1981.57171139 2108.42828861]
 [2423.42828861 2578.57171139]]",4090,5002,2333,2072,0.5704156479217604,0.41423430627748903,0.4950773308892401,0.49263857433784397,360.0,360.0,True
1.7989722061378113,73.34497597877059,1.0885888459245622e-17,1,"[[ 697.56136364  829.43863636]
 [ 910.43863636 1082.56136364]]",1527,1993,823,785,0.5389652914210871,0.3938785750125439,0.49864269583841775,0.488731103649311,390.0,390.0,True
1.759452804377565,20.69990194472915,5.371875259098796e-06,1,"[[170.57217848 291.42782152]
 [251.42782152 429.57217848]]",462,681,207,215,0.44805194805194803,0.315712187958884,0.4978331502137321,0.4651405220766148,420.0,420.0,True
1.4571092831962398,2.7102623137867736,0.09970459546096738,1,"[[ 54.81846154  81.18153846]
 [ 76.18153846 112.81846154]]",136,189,62,69,0.45588235294117646,0.36507936507936506,0.4998910556692591,0.4827311694572375,450.0,450.0,False
1.1049107142857142,0.07394044818702356,0.7856835867196995,1,"[[21.25984252 32.74015748]
 [28.74015748 44.25984252]]",54,73,22,28,0.4074074074074074,0.3835616438356164,0.4959655541340459,0.4896182465934662,480.0,480.0,False
1.1428571428571428,0.03954714640198508,0.8423686275446068,1,"[[ 4.70588235 15.29411765]
 [ 7.29411765 23.70588235]]",20,31,5,7,0.25,0.22580645161290322,0.4442616583193193,0.4250237185032414,510.0,510.0,False
2.0833333333333335,0.6240132416603,0.4295598381919645,1,"[[ 4.10344828 12.89655172]
 [ 2.89655172  9.10344828]]",17,12,5,2,0.29411764705882354,0.16666666666666666,0.46966821831386213,0.38924947208076144,540.0,540.0,False
0.36,0.8888888888888888,0.3457785861511601,1,"[[4.5 1.5]
 [1.5 0.5]]",6,2,4,2,0.6666666666666666,1.0,0.5163977794943223,0.0,570.0,570.0,False
0.7142857142857143,,,1,,0,5,0,3,,0.6,,0.5477225575051662,600.0,600.0,
0.3333333333333333,,,1,,0,1,0,1,,1.0,,,630.0,630.0,
