cohens_d,t,p,dof,nobs(M),nobs(F),count(M),count(F),mean(M),mean(F),std(M),std(F),pb_recent_int,index,significant
,,,,1,0,1,0,35.0,,,,0.0,0.0,
,,,,4,1,4,1,26.25,30.0,7.5,,30.0,30.0,
,,,,1,0,1,0,30.0,,,,60.0,60.0,
1.3416407864998738,1.3416407864998738,0.34988559277094033,1.4705882352941178,2,2,2,2,30.0,22.5,7.0710678118654755,3.5355339059327378,90.0,90.0,False
-0.8892118276421006,-14.087764772279165,1.3265908152119712e-33,250.99999999999997,252,2,252,2,30.952380952380953,35.0,4.560976240744926,0.0,120.0,120.0,True
0.22417014908112753,2.899071024892177,0.004179178138851928,191.73795418751507,6487,183,6487,183,31.576229381840605,30.65573770491803,4.102413393071617,4.239603622495648,150.0,150.0,True
0.28445706722600683,10.480309741586394,5.272043339609008e-25,1846.1375796857596,23688,1644,23688,1644,31.730412022965215,30.583941605839417,4.010426795151542,4.307802377763372,180.0,180.0,True
0.12868665713729896,8.568367284328986,1.2844296833546017e-17,6806.904009812126,44503,5547,44503,5547,31.379457564658562,30.852713178294575,4.0603097459614235,4.348393112285668,210.0,210.0,True
0.022602629107619128,1.948897372744348,0.051328521216310465,13400.060708515197,44018,9377,44018,9377,30.618156208823663,30.520422309907218,4.3006752662867465,4.431892868178806,240.0,240.0,False
-0.12277574450412708,-10.627409663621041,2.6894859182466415e-26,16920.128159404176,30729,10029,30729,10029,29.201080412639527,29.765180975172,4.584345512076074,4.62572023733101,270.0,270.0,True
-0.1657123061710963,-11.677245729363733,2.288653532941275e-31,14764.192382618496,15048,7432,15048,7432,28.104066985645932,28.91011840688913,4.859691696266945,4.873199857707045,300.0,300.0,True
-0.17323354580503983,-9.106102521114268,1.0196623178725613e-19,9869.665913451974,6908,4627,6908,4627,27.320497973364215,28.206181110870975,5.0978895625007254,5.134618887072732,330.0,330.0,True
-0.21118592971591266,-6.9841681769725765,3.3045490289506263e-12,4309.884918197302,2333,2072,2333,2072,27.198885555079297,28.325289575289574,5.261991821938944,5.413324531645318,360.0,360.0,True
-0.23718249424934526,-4.759783028921041,2.112154743829943e-06,1605.9885277574158,823,785,823,785,27.18104495747266,28.45859872611465,5.515960507284992,5.247072125582972,390.0,390.0,True
-0.15438619750864604,-1.5840083359503554,0.11395007519758192,416.8930057377651,207,215,207,215,26.497584541062803,27.372093023255815,5.80247218499356,5.528275896138831,420.0,420.0,False
-0.2699949374837386,-1.5353145975414486,0.1272523862264542,124.09014181292291,62,69,62,69,26.451612903225808,27.971014492753625,5.894363574302174,5.376886849373283,450.0,450.0,False
-0.2752024445627036,-0.9443399461753037,0.3505799762376356,40.61598262824823,22,28,22,28,27.045454545454547,28.571428571428573,6.106025694635568,5.065705840391412,480.0,480.0,False
0.023395413544786466,0.04076260035095783,0.9683424013709091,9.349549942837982,5,7,5,7,28.0,27.857142857142858,5.70087712549569,6.362090102803518,510.0,510.0,False
0.0,0.0,1.0,4.0,5,2,5,2,30.0,30.0,3.5355339059327378,0.0,540.0,540.0,False
-0.3015113445777636,-0.5222329678670935,0.6376180914006019,3.0,4,2,4,2,28.75,30.0,4.7871355387816905,0.0,570.0,570.0,False
,,,,0,3,0,3,,26.666666666666668,,2.886751345948129,600.0,600.0,
,,,,0,1,0,1,,35.0,,,630.0,630.0,
