city,years,n_records,pct_female,mean_finish,std_finish,pct_htw
Amsterdam,2012–2025,152914,23.80096001674144,240.93335654899704,40.55551807270979,24.47323332069006
Auckland,2017–2018,2435,24.517453798767967,251.41366872005474,49.108756507094526,37.412731006160165
Austin,2017–2019,7625,36.87868852459017,280.8382382513661,53.88517111410463,37.87540983606557
Barcelona,2019–2026,52756,21.9463189021154,234.5761644805014,41.583187618875385,24.715672151034955
Berlin,2005–2025,627258,26.19847016698073,250.33537276527363,45.95707296901111,23.708585621865325
Boston,2022–2026,133508,42.990682206309735,224.41077675744776,45.69352651205151,18.6018815351889
Chicago,2024–2025,101853,44.107684604282646,260.030101387948,62.44349456344752,29.256870195281437
Copenhagen,2014–2025,104194,26.2423939958155,243.50120944264225,39.351989321713575,29.8472080925965
Dubai,2016–2020,5356,22.255414488424197,262.3524925317401,49.67006990160097,48.91710231516056
Eindhoven,2011–2024,24747,17.525356608881886,228.1885258819251,37.54413720181194,24.33022184507213
Gold Coast,2016–2024,31632,31.36380880121396,249.79681019221044,51.05721276122392,42.039706626201315
Hamburg,2019–2019,3341,1.4965579167913798,205.06681133393195,19.378569052400454,7.21340915893445
Helsinki,2015–2017,7851,27.76716341867278,262.1006177556999,40.7179562679694,29.49942682460833
London,2019–2026,273400,42.088514996342354,271.7235335284077,64.58162726227462,30.783467446964156
Madrid,2013–2026,103812,12.734558625207104,244.50677490720403,38.73818516151163,38.77586406195815
Melbourne,2015–2015,395,28.860759493670884,249.04350210970463,44.90586735901328,35.189873417721515
New York,2019–2025,284604,44.11006169976529,275.22980773284985,58.57234976066528,34.21455777150005
Oslo,2016–2022,8432,22.746679316888045,239.90065425363693,38.18881383315848,33.02893738140417
Paris,2019–2024,100040,26.556377449020392,251.35128765160601,43.5661144535053,33.9344262295082
Prague,2016–2018,12670,22.407261247040253,262.84833991054984,49.636764560190294,43.583267561168114
Rotterdam,2013–2024,139977,21.853590232681082,243.50938451793272,38.81946144573341,31.53732398894104
Singapore,2025–2025,8882,18.340463859491106,319.1418468062749,62.86479654349606,47.275388426030176
Stockholm,2011–2011,9924,29.07093913744458,240.57841092301496,35.592153477676476,14.117291414752117
Sydney,2017–2018,7073,29.252085395164713,254.81699420330833,44.68729698183497,40.80305386681747
Tokyo,2026–2026,353,0.0,145.0040132200189,9.194227357867438,3.1161473087818696
Valencia,2021–2024,70677,2.7816687182534627,214.63496988647884,38.97588348285042,20.405506741938677
Warsaw,2015–2018,23153,14.42145726255777,238.74765833081386,36.63284279816273,26.74815358700816
Washington,2008–2018,213998,42.73404424340414,287.69574988239765,51.31810579300707,45.87426050710754
